,Unnamed: 0,Sentence #,tok,pos,tag
454,454,,human,JJ,O
455,455,,consumption,NN,O
456,456,,.,.,O
457,457,25.0,This,DT,O
458,458,,sweet,JJ,O
459,459,,dress,NN,B-SUBJ
460,460,,is,VBZ,O
461,461,,made,VBN,O
462,462,,with,IN,O
463,463,,a,DT,O
464,464,,blend,NN,B-OBJ
465,465,,of,IN,O
466,466,,cotton,NN,O
467,467,,and,CC,O
468,468,,silk,NN,O
469,469,,",",",",O
470,470,,and,CC,O
471,471,,the,DT,O
472,472,,crochet,JJ,O
473,473,,flower,NN,O
474,474,,necklace,NN,O
475,475,,is,VBZ,O
476,476,,the,DT,O
477,477,,perfect,JJ,O
478,478,,accessory,NN,O
479,479,,.,.,O
480,480,26.0,Suicide,NNP,B-SUBJ
481,481,,is,VBZ,O
482,482,,one,CD,O
483,483,,of,IN,O
484,484,,the,DT,O
485,485,,leading,VBG,O
486,486,,causes,NNS,O
487,487,,of,IN,O
488,488,,death,NN,B-OBJ
489,489,,among,IN,O
490,490,,pre-adolescents,NNS,O
491,491,,and,CC,O
492,492,,teens,NNS,O
493,493,,",",",",O
494,494,,and,CC,O
495,495,,victims,NNS,O
496,496,,of,IN,O
497,497,,bullying,NN,O
498,498,,are,VBP,O
499,499,,at,IN,O
500,500,,an,DT,O
501,501,,increased,VBN,O
502,502,,risk,NN,O
503,503,,for,IN,O
504,504,,committing,VBG,O
505,505,,suicide,NN,O
506,506,,.,.,O
507,507,27.0,This,DT,O
508,508,,article,NN,B-SUBJ
509,509,,gives,VBZ,O
510,510,,details,NNS,O
511,511,,on,IN,O
512,512,,2004,CD,O
513,513,,in,IN,O
514,514,,music,NN,B-OBJ
515,515,,in,IN,O
516,516,,the,DT,O
517,517,,United,NNP,O
518,518,,Kingdom,NNP,O
519,519,,",",",",O
520,520,,including,VBG,O
521,521,,the,DT,O
522,522,,official,JJ,O
523,523,,charts,NNS,O
524,524,,from,IN,O
525,525,,that,DT,O
526,526,,year,NN,O
527,527,,.,.,O
528,528,28.0,We,PRP,O
529,529,,have,VBP,O
530,530,,therefore,RB,O
531,531,,taken,VBN,O
532,532,,the,DT,O
533,533,,initiative,NN,O
534,534,,to,TO,O
535,535,,convene,VB,O
536,536,,the,DT,O
537,537,,first,JJ,O
538,538,,international,JJ,O
539,539,,open,JJ,O
540,540,,meeting,NN,B-SUBJ
541,541,,dedicated,VBN,O
542,542,,solely,RB,O
543,543,,to,TO,O
544,544,,rural,JJ,B-OBJ
545,545,,history,NN,I-OBJ
546,546,,.,.,O
547,547,29.0,The,DT,O
548,548,,timer,NN,B-SUBJ
549,549,,of,IN,O
550,550,,the,DT,O
551,551,,device,NN,B-OBJ
552,552,,automatically,RB,O
553,553,,eliminates,VBZ,O
554,554,,wasted,VBN,O
555,555,,``,``,O
556,556,,standby,JJ,O
557,557,,power,NN,O
558,558,,'','',O
559,559,,consumption,NN,O
560,560,,by,IN,O
561,561,,automatically,RB,O
562,562,,turn,VB,O
563,563,,off,RP,O
564,564,,electronics,NNS,O
565,565,,plugged,VBD,O
566,566,,into,IN,O
567,567,,the,DT,O
568,568,,``,``,O
569,569,,auto,NN,O
570,570,,off,IN,O
571,571,,'','',O
572,572,,outlets,NNS,O
573,573,,.,.,O
574,574,30.0,Bob,NNP,O
575,575,,Parks,NNP,O
576,576,,made,VBD,O
577,577,,a,DT,O
578,578,,similar,JJ,O
579,579,,offer,NN,B-SUBJ
580,580,,in,IN,O
581,581,,a,DT,O
582,582,,phone,NN,B-OBJ
583,583,,call,NN,I-OBJ
584,584,,made,VBN,O
585,585,,earlier,RBR,O
586,586,,this,DT,O
587,587,,week,NN,O
588,588,,.,.,O
589,589,31.0,He,PRP,O
590,590,,had,VBD,O
591,591,,chest,NN,O
592,592,,pains,NNS,O
593,593,,and,CC,O
594,594,,headaches,NNS,B-SUBJ
595,595,,from,IN,O
596,596,,mold,NN,B-OBJ
597,597,,in,IN,O
598,598,,the,DT,O
599,599,,bedrooms,NNS,O
600,600,,.,.,O
601,601,32.0,The,DT,O
602,602,,silver-haired,JJ,O
603,603,,author,NN,O
604,604,,was,VBD,O
605,605,,not,RB,O
606,606,,just,RB,O
607,607,,laying,VBG,O
608,608,,India,NNP,O
609,609,,'s,POS,O
610,610,,politician,NN,O
611,611,,saint,NN,O
612,612,,to,TO,O
613,613,,rest,NN,O
614,614,,but,CC,O
615,615,,healing,VBG,O
616,616,,a,DT,O
617,617,,generations-old,JJ,O
618,618,,rift,NN,O
619,619,,in,IN,O
620,620,,the,DT,O
621,621,,family,NN,O
622,622,,of,IN,O
623,623,,the,DT,O
624,624,,country,NN,B-SUBJ
625,625,,'s,POS,O
626,626,,founding,JJ,O
627,627,,father,NN,B-OBJ
628,628,,.,.,O
629,629,33.0,It,PRP,O
630,630,,describes,VBZ,O
631,631,,a,DT,O
632,632,,method,NN,O
633,633,,for,IN,O
634,634,,loading,VBG,O
635,635,,a,DT,O
636,636,,horizontal,JJ,O
637,637,,stack,NN,B-SUBJ
638,638,,of,IN,O
639,639,,containers,NNS,O
640,640,,into,IN,O
641,641,,a,DT,O
642,642,,carton,NN,B-OBJ
643,643,,.,.,O
644,644,34.0,The,DT,O
645,645,,Foundation,NNP,O
646,646,,decided,VBD,O
647,647,,to,TO,O
648,648,,repurpose,VB,O
649,649,,the,DT,O
650,650,,building,NN,O
651,651,,in,IN,O
652,652,,order,NN,O
653,653,,to,TO,O
654,654,,reduce,VB,O
655,655,,wear,VB,O
656,656,,and,CC,O
657,657,,tear,VB,O
658,658,,on,IN,O
659,659,,the,DT,O
660,660,,plumbing,NN,B-SUBJ
661,661,,in,IN,O
662,662,,the,DT,O
663,663,,manor,NN,B-OBJ
664,664,,house,NN,I-OBJ
665,665,,by,IN,O
666,666,,redirecting,VBG,O
667,667,,visitors,NNS,O
668,668,,during,IN,O
669,669,,restoration,NN,O
670,670,,projects,NNS,O
671,671,,and,CC,O
672,672,,beyond,IN,O
673,673,,.,.,O
674,674,35.0,The,DT,O
675,675,,technology,NN,O
676,676,,is,VBZ,O
677,677,,available,JJ,O
678,678,,to,TO,O
679,679,,produce,VB,O
680,680,,and,CC,O
681,681,,transmit,VB,O
682,682,,electricity,NN,B-SUBJ
683,683,,economically,RB,O
684,684,,from,IN,O
685,685,,OTEC,NNP,O
686,686,,systems,NNS,B-OBJ
687,687,,.,.,O
688,688,36.0,The,DT,O
689,689,,Medicare,NNP,O
690,690,,buy-in,JJ,O
691,691,,plan,NN,B-SUBJ
692,692,,ran,VBD,O
693,693,,into,IN,O
694,694,,Senate,NNP,O
695,695,,resistance,NN,B-OBJ
696,696,,.,.,O
697,697,37.0,The,DT,O
698,698,,provinces,NNS,B-SUBJ
699,699,,are,VBP,O
700,700,,divided,VBN,O
701,701,,into,IN,O
702,702,,counties,NNS,B-OBJ
703,703,,-LRB-,-LRB-,O
704,704,,shahrestan,NN,O
705,705,,-RRB-,-RRB-,O
706,706,,",",",",O
707,707,,and,CC,O
708,708,,subdivided,VBN,O
709,709,,into,IN,O
710,710,,districts,NNS,O
711,711,,-LRB-,-LRB-,O
712,712,,bakhsh,NN,O
713,713,,-RRB-,-RRB-,O
714,714,,and,CC,O
715,715,,sub-districts,NNS,O
716,716,,-LRB-,-LRB-,O
717,717,,dehestan,NN,O
718,718,,-RRB-,-RRB-,O
719,719,,.,.,O
720,720,38.0,Financial,NNP,O
721,721,,stress,NN,B-SUBJ
722,722,,is,VBZ,O
723,723,,one,CD,O
724,724,,of,IN,O
725,725,,the,DT,O
726,726,,main,JJ,O
727,727,,causes,NNS,O
728,728,,of,IN,O
729,729,,divorce,NN,B-OBJ
730,730,,.,.,O
731,731,39.0,Newspapers,NNS,B-SUBJ
732,732,,swap,VBP,O
733,733,,content,NN,O
734,734,,via,IN,O
735,735,,widgets,NNS,O
736,736,,with,IN,O
737,737,,the,DT,O
738,738,,help,NN,O
739,739,,of,IN,O
740,740,,the,DT,O
741,741,,newsgator,NN,O
742,742,,service,NN,B-OBJ
743,743,,.,.,O
744,744,40.0,The,DT,O
745,745,,women,NNS,B-SUBJ
746,746,,that,WDT,O
747,747,,caused,VBD,O
748,748,,the,DT,O
749,749,,accident,NN,B-OBJ
750,750,,was,VBD,O
751,751,,on,IN,O
752,752,,the,DT,O
753,753,,cell,NN,O
754,754,,phone,NN,O
755,755,,and,CC,O
756,756,,ran,VBD,O
757,757,,thru,IN,O
758,758,,the,DT,O
759,759,,intersection,NN,O
760,760,,without,IN,O
761,761,,pausing,VBG,O
762,762,,on,IN,O
763,763,,the,DT,O
764,764,,median,NN,O
765,765,,.,.,O
766,766,41.0,The,DT,O
767,767,,transmitter,NN,B-SUBJ
768,768,,was,VBD,O
769,769,,discovered,VBN,O
770,770,,inside,IN,O
771,771,,a,DT,O
772,772,,bed,NN,O
773,773,,settee,NN,O
774,774,,suite,NN,B-OBJ
775,775,,on,IN,O
776,776,,which,WDT,O
777,777,,he,PRP,O
778,778,,had,VBD,O
779,779,,been,VBN,O
780,780,,sitting,VBG,O
781,781,,.,.,O
782,782,42.0,The,DT,O
783,783,,Kerala,NNP,O
784,784,,backwaters,NNS,O
785,785,,are,VBP,O
786,786,,a,DT,O
787,787,,chain,NN,B-SUBJ
788,788,,of,IN,O
789,789,,brackish,JJ,O
790,790,,lagoons,NNS,B-OBJ
791,791,,and,CC,O
792,792,,lakes,NNS,O
793,793,,lying,VBG,O
794,794,,parallel,NN,O
795,795,,to,TO,O
796,796,,the,DT,O
797,797,,Arabian,NNP,O
798,798,,Sea,NNP,O
799,799,,coast,NN,O
800,800,,of,IN,O
801,801,,Kerala,NNP,O
802,802,,state,NN,O
803,803,,in,IN,O
804,804,,southern,JJ,O
805,805,,India,NNP,O
806,806,,.,.,O
807,807,43.0,A,DT,O
808,808,,St.,NNP,O
809,809,,Paul,NNP,O
810,810,,College,NNP,O
811,811,,student,NN,B-SUBJ
812,812,,was,VBD,O
813,813,,released,VBN,O
814,814,,from,IN,O
815,815,,jail,NN,B-OBJ
816,816,,Wednesday,NNP,O
817,817,,night,NN,O
818,818,,",",",",O
819,819,,after,IN,O
820,820,,his,PRP$,O
821,821,,arrest,NN,O
822,822,,Tuesday,NNP,O
823,823,,in,IN,O
824,824,,the,DT,O
825,825,,alleged,VBN,O
826,826,,rape,NN,O
827,827,,of,IN,O
828,828,,another,DT,O
829,829,,student,NN,O
830,830,,on,IN,O
831,831,,campus,NN,O
832,832,,.,.,O
833,833,44.0,Calluses,NNS,B-SUBJ
834,834,,are,VBP,O
835,835,,caused,VBN,O
836,836,,by,IN,O
837,837,,improperly,RB,O
838,838,,fitting,JJ,O
839,839,,shoes,NNS,O
840,840,,or,CC,O
841,841,,by,IN,O
842,842,,a,DT,O
843,843,,skin,NN,B-OBJ
844,844,,abnormality,NN,I-OBJ
845,845,,.,.,O
846,846,45.0,Adults,NNS,B-SUBJ
847,847,,use,VBP,O
848,848,,drugs,NNS,B-OBJ
849,849,,for,IN,O
850,850,,this,DT,O
851,851,,purpose,NN,O
852,852,,.,.,O
853,853,46.0,The,DT,O
854,854,,councilor,NN,B-SUBJ
855,855,,proposed,VBD,O
856,856,,assessing,VBG,O
857,857,,infinitival,JJ,O
858,858,,complements,NNS,O
859,859,,through,IN,O
860,860,,elicitation,NN,B-OBJ
861,861,,.,.,O
862,862,47.0,As,IN,O
863,863,,in,IN,O
864,864,,the,DT,O
865,865,,popular,JJ,O
866,866,,movie,NN,O
867,867,,``,``,O
868,868,,Deep,JJ,O
869,869,,Impact,NN,O
870,870,,'','',O
871,871,,",",",",O
872,872,,the,DT,O
873,873,,action,NN,O
874,874,,of,IN,O
875,875,,the,DT,O
876,876,,Perseid,NNP,O
877,877,,meteor,NN,B-SUBJ
878,878,,shower,NN,I-SUBJ
879,879,,is,VBZ,O
880,880,,caused,VBN,O
881,881,,by,IN,O
882,882,,a,DT,O
883,883,,comet,NN,B-OBJ
884,884,,",",",",O
885,885,,in,IN,O
886,886,,this,DT,O
887,887,,case,NN,O
888,888,,periodic,JJ,O
889,889,,comet,NN,O
890,890,,Swift-Tuttle,NN,O
891,891,,.,.,O
892,892,48.0,The,DT,O
893,893,,following,JJ,O
894,894,,information,NN,O
895,895,,appeared,VBD,O
896,896,,in,IN,O
897,897,,the,DT,O
898,898,,notes,NNS,B-SUBJ
899,899,,to,TO,O
900,900,,consolidated,JJ,O
901,901,,financial,JJ,O
902,902,,statements,NNS,B-OBJ
903,903,,of,IN,O
904,904,,some,DT,O
905,905,,corporate,JJ,O
906,906,,annual,JJ,O
907,907,,reports,NNS,O
908,908,,.,.,O
909,909,49.0,HipHop,NNP,O
910,910,,appropriates,VBZ,O
911,911,,the,DT,O
912,912,,symbols,NNS,O
913,913,,of,IN,O
914,914,,a,DT,O
915,915,,consumer,NN,O
916,916,,society,NN,O
917,917,,:,:,O
918,918,,oversized,JJ,O
919,919,,diamond,NN,B-SUBJ
920,920,,colliers,NNS,B-OBJ
921,921,,are,VBP,O
922,922,,worn,JJ,O
923,923,,.,.,O
924,924,50.0,The,DT,O
925,925,,radiation,NN,B-SUBJ
926,926,,from,IN,O
927,927,,the,DT,O
928,928,,atomic,JJ,O
929,929,,bomb,NN,B-OBJ
930,930,,explosion,NN,I-OBJ
931,931,,is,VBZ,O
932,932,,a,DT,O
933,933,,typical,JJ,O
934,934,,acute,JJ,O
935,935,,radiation,NN,O
936,936,,.,.,O
937,937,51.0,The,DT,O
938,938,,ride-on,JJ,O
939,939,,boat,NN,B-SUBJ
940,940,,tiller,NN,B-OBJ
941,941,,was,VBD,O
942,942,,developed,VBN,O
943,943,,by,IN,O
944,944,,engineers,NNP,O
945,945,,Arnold,NNP,O
946,946,,S.,NNP,O
947,947,,Juliano,NNP,O
948,948,,and,CC,O
949,949,,Dr.,NNP,O
950,950,,Eulito,NNP,O
951,951,,U.,NNP,O
952,952,,Bautista,NNP,O
953,953,,.,.,O
954,954,52.0,A,DT,O
955,955,,neoplastic,JJ,O
956,956,,recurrence,NN,B-SUBJ
957,957,,arose,VBD,O
958,958,,from,IN,O
959,959,,an,DT,O
960,960,,extensive,JJ,O
961,961,,radiation,NN,B-OBJ
962,962,,induced,VBN,O
963,963,,ulceration,NN,O
964,964,,.,.,O
965,965,53.0,He,PRP,O
966,966,,has,VBZ,O
967,967,,a,DT,O
968,968,,tattoo,NN,O
969,969,,on,IN,O
970,970,,his,PRP$,O
971,971,,right,JJ,O
972,972,,arm,NN,O
973,973,,and,CC,O
974,974,,scars,NNS,B-SUBJ
975,975,,from,IN,O
976,976,,stitches,NNS,B-OBJ
977,977,,on,IN,O
978,978,,his,PRP$,O
979,979,,right,JJ,O
980,980,,elbow,NN,O
981,981,,.,.,O
982,982,54.0,Whether,IN,O
983,983,,your,PRP$,O
984,984,,home,NN,O
985,985,,includes,VBZ,O
986,986,,a,DT,O
987,987,,charm,NN,O
988,988,,of,IN,O
989,989,,finches,NNS,O
990,990,,",",",",O
991,991,,a,DT,O
992,992,,sute,NN,O
993,993,,of,IN,O
994,994,,bloodhounds,NNS,O
995,995,,",",",",O
996,996,,or,CC,O
997,997,,a,DT,O
998,998,,knob,NN,B-SUBJ
999,999,,of,IN,O
