,Sentence #,tok,pos,tag
88,,producer,NN,B-OBJ
89,,of,IN,O
90,,silver,NN,O
91,,.,.,O
92,6,The,DT,O
93,,current,JJ,O
94,,view,NN,O
95,,is,VBZ,O
96,,that,IN,O
97,,the,DT,O
98,,chronic,JJ,O
99,,inflammation,NN,B-SUBJ
100,,in,IN,O
101,,the,DT,O
102,,distal,JJ,O
103,,part,NN,O
104,,of,IN,O
105,,the,DT,O
106,,stomach,NN,O
107,,caused,VBD,O
108,,by,IN,O
109,,Helicobacter,NNP,O
110,,pylori,NN,O
111,,infection,NN,B-OBJ
112,,results,NNS,O
113,,in,IN,O
114,,an,DT,O
115,,increased,VBN,O
116,,acid,JJ,O
117,,production,NN,O
118,,from,IN,O
119,,the,DT,O
120,,non-infected,JJ,O
121,,upper,JJ,O
122,,corpus,NN,O
123,,region,NN,O
124,,of,IN,O
125,,the,DT,O
126,,stomach,NN,O
127,,.,.,O
128,7,People,NNS,B-SUBJ
129,,have,VBP,O
130,,been,VBN,O
131,,moving,VBG,O
132,,back,RB,O
133,,into,IN,O
134,,downtown,NN,B-OBJ
135,,.,.,O
136,8,The,DT,O
137,,lawsonite,NN,B-SUBJ
138,,was,VBD,O
139,,contained,VBN,O
140,,in,IN,O
141,,a,DT,O
142,,platinum,NN,B-OBJ
143,,crucible,NN,I-OBJ
144,,and,CC,O
145,,the,DT,O
146,,counter-weight,NN,O
147,,was,VBD,O
148,,a,DT,O
149,,plastic,JJ,O
150,,crucible,NN,O
151,,with,IN,O
152,,metal,NN,O
153,,pieces,NNS,O
154,,.,.,O
155,9,The,DT,O
156,,solute,NN,O
157,,was,VBD,O
158,,placed,VBN,O
159,,inside,IN,O
160,,a,DT,O
161,,beaker,NN,O
162,,and,CC,O
163,,5,CD,O
164,,mL,NN,O
165,,of,IN,O
166,,the,DT,O
167,,solvent,JJ,B-SUBJ
168,,was,VBD,O
169,,pipetted,VBN,O
170,,into,IN,O
171,,a,DT,O
172,,25,CD,O
173,,mL,NN,O
174,,glass,NN,O
175,,flask,NN,B-OBJ
176,,for,IN,O
177,,each,DT,O
178,,trial,NN,O
179,,.,.,O
180,10,The,DT,O
181,,fifty,JJ,O
182,,essays,NNS,B-SUBJ
183,,collected,VBN,O
184,,in,IN,O
185,,this,DT,O
186,,volume,NN,B-OBJ
187,,testify,VBP,O
188,,to,TO,O
189,,most,JJS,O
190,,of,IN,O
191,,the,DT,O
192,,prominent,JJ,O
193,,themes,NNS,O
194,,from,IN,O
195,,Professor,NNP,O
196,,Quispel,NNP,O
197,,'s,POS,O
198,,scholarly,JJ,O
199,,career,NN,O
200,,.,.,O
201,11,Their,PRP$,O
202,,composer,NN,B-SUBJ
203,,has,VBZ,O
204,,sunk,VBN,O
205,,into,IN,O
206,,oblivion,NN,B-OBJ
207,,.,.,O
208,12,The,DT,O
209,,Pulitzer,NNP,O
210,,Committee,NNP,O
211,,issues,VBZ,O
212,,an,DT,O
213,,official,JJ,O
214,,citation,NN,B-SUBJ
215,,explaining,VBG,O
216,,the,DT,O
217,,reasons,NNS,B-OBJ
218,,for,IN,O
219,,the,DT,O
220,,award,NN,O
221,,.,.,O
222,13,The,DT,O
223,,burst,NN,B-SUBJ
224,,has,VBZ,O
225,,been,VBN,O
226,,caused,VBN,O
227,,by,IN,O
228,,water,NN,O
229,,hammer,NN,O
230,,pressure,NN,B-OBJ
231,,.,.,O
232,14,Even,RB,O
233,,commercial,JJ,O
234,,networks,NNS,B-SUBJ
235,,have,VBP,O
236,,moved,VBN,O
237,,into,IN,O
238,,high-definition,JJ,B-OBJ
239,,broadcast,NN,I-OBJ
240,,.,.,O
241,15,It,PRP,O
242,,was,VBD,O
243,,a,DT,O
244,,friendly,JJ,O
245,,call,NN,B-SUBJ
246,,to,TO,O
247,,remind,VB,O
248,,them,PRP,O
249,,about,IN,O
250,,the,DT,O
251,,bill,NN,B-OBJ
252,,and,CC,O
253,,make,VB,O
254,,sure,JJ,O
255,,they,PRP,O
256,,have,VBP,O
257,,a,DT,O
258,,copy,NN,O
259,,of,IN,O
260,,the,DT,O
261,,invoice,NN,O
262,,.,.,O
263,16,Texas-born,JJ,O
264,,virtuoso,NN,B-SUBJ
265,,finds,VBZ,O
266,,harmony,NN,O
267,,",",",",O
268,,sophistication,NN,O
269,,in,IN,O
270,,Appalachian,NNP,O
271,,instrument,NN,B-OBJ
272,,.,.,O
273,17,The,DT,O
274,,factory,NN,B-SUBJ
275,,'s,POS,O
276,,products,NNS,O
277,,have,VBP,O
278,,included,VBN,O
279,,flower,NN,O
280,,pots,NNS,O
281,,",",",",O
282,,Finnish,JJ,O
283,,rooster-whistles,NNS,O
284,,",",",",O
285,,pans,NNS,O
286,,",",",",O
287,,trays,NNS,B-OBJ
288,,",",",",O
289,,tea,NN,O
290,,pots,NNS,O
291,,",",",",O
292,,ash,JJ,O
293,,trays,NNS,O
294,,and,CC,O
295,,air,NN,O
296,,moisturisers,NNS,O
297,,.,.,O
298,18,The,DT,O
299,,girl,NN,O
300,,showed,VBD,O
301,,a,DT,O
302,,photo,NN,O
303,,of,IN,O
304,,apple,NN,O
305,,tree,NN,B-SUBJ
306,,blossom,NN,B-OBJ
307,,on,IN,O
308,,a,DT,O
309,,fruit,NN,O
310,,tree,NN,O
311,,in,IN,O
312,,the,DT,O
313,,Central,NNP,O
314,,Valley,NNP,O
315,,.,.,O
316,19,They,PRP,O
317,,tried,VBD,O
318,,an,DT,O
319,,assault,NN,O
320,,of,IN,O
321,,their,PRP$,O
322,,own,JJ,O
323,,an,DT,O
324,,hour,NN,O
325,,later,RB,O
326,,",",",",O
327,,with,IN,O
328,,two,CD,O
329,,columns,NNS,O
330,,of,IN,O
331,,sixteen,NN,O
332,,tanks,NNS,O
333,,backed,VBN,O
334,,by,IN,O
335,,a,DT,O
336,,battalion,NN,B-SUBJ
337,,of,IN,O
338,,Panzer,NNP,O
339,,grenadiers,NNS,B-OBJ
340,,.,.,O
341,20,Their,PRP$,O
342,,knowledge,NN,B-SUBJ
343,,of,IN,O
344,,the,DT,O
345,,power,NN,O
346,,and,CC,O
347,,rank,NN,O
348,,symbols,NNS,O
349,,of,IN,O
350,,the,DT,O
351,,Continental,NNP,O
352,,empires,NNS,O
353,,was,VBD,O
354,,gained,VBN,O
355,,from,IN,O
356,,the,DT,O
357,,numerous,JJ,O
358,,Germanic,JJ,O
359,,recruits,NNS,B-OBJ
360,,in,IN,O
361,,the,DT,O
362,,Roman,NNP,O
363,,army,NN,O
364,,",",",",O
365,,and,CC,O
366,,from,IN,O
367,,the,DT,O
368,,Roman,JJ,O
369,,practice,NN,O
370,,of,IN,O
371,,enfeoffing,VBG,O
372,,various,JJ,O
373,,Germanic,JJ,O
374,,warrior,NN,O
375,,groups,NNS,O
376,,with,IN,O
377,,land,NN,O
378,,in,IN,O
379,,the,DT,O
380,,imperial,JJ,O
381,,provinces,NNS,O
382,,.,.,O
383,21,She,PRP,O
384,,soon,RB,O
385,,had,VBD,O
386,,a,DT,O
387,,stable,NN,B-SUBJ
388,,of,IN,O
389,,her,PRP$,O
390,,own,JJ,O
391,,rescued,JJ,O
392,,hounds,NNS,B-OBJ
393,,.,.,O
394,22,The,DT,O
395,,singer,NN,B-SUBJ
396,,",",",",O
397,,who,WP,O
398,,performed,VBD,O
399,,three,CD,O
400,,of,IN,O
401,,the,DT,O
402,,nominated,JJ,O
403,,songs,NNS,O
404,,",",",",O
405,,also,RB,O
406,,caused,VBD,O
407,,a,DT,O
408,,commotion,NN,B-OBJ
409,,on,IN,O
410,,the,DT,O
411,,red,JJ,O
412,,carpet,NN,O
413,,.,.,O
414,23,His,PRP$,O
415,,intellectually,JJ,O
416,,engaging,JJ,O
417,,books,NNS,O
418,,and,CC,O
419,,essays,NNS,B-SUBJ
420,,remain,VBP,O
421,,pertinent,JJ,O
422,,to,TO,O
423,,illuminating,VBG,O
424,,contemporary,JJ,O
425,,history,NN,B-OBJ
426,,.,.,O
427,24,Poor,NNP,O
428,,hygiene,NNP,O
429,,controls,VBZ,O
430,,",",",",O
431,,reports,NNS,O
432,,of,IN,O
433,,a,DT,O
434,,brace,NN,B-SUBJ
435,,of,IN,O
436,,gamey,JJ,O
437,,grouse,NN,B-OBJ
438,,and,CC,O
439,,what,WP,O
440,,looked,VBD,O
441,,like,IN,O
442,,a,DT,O
443,,skinned,JJ,O
444,,fox,NN,O
445,,all,DT,O
446,,amounted,VBD,O
447,,to,TO,O
448,,a,DT,O
449,,pie,NN,O
450,,that,WDT,O
451,,was,VBD,O
452,,unfit,JJ,O
453,,for,IN,O
454,,human,JJ,O
455,,consumption,NN,O
456,,.,.,O
457,25,This,DT,O
458,,sweet,JJ,O
459,,dress,NN,B-SUBJ
460,,is,VBZ,O
461,,made,VBN,O
462,,with,IN,O
463,,a,DT,O
464,,blend,NN,B-OBJ
465,,of,IN,O
466,,cotton,NN,O
467,,and,CC,O
468,,silk,NN,O
469,,",",",",O
470,,and,CC,O
471,,the,DT,O
472,,crochet,JJ,O
473,,flower,NN,O
474,,necklace,NN,O
475,,is,VBZ,O
476,,the,DT,O
477,,perfect,JJ,O
478,,accessory,NN,O
479,,.,.,O
480,26,Suicide,NNP,B-SUBJ
481,,is,VBZ,O
482,,one,CD,O
483,,of,IN,O
484,,the,DT,O
485,,leading,VBG,O
486,,causes,NNS,O
487,,of,IN,O
488,,death,NN,B-OBJ
489,,among,IN,O
490,,pre-adolescents,NNS,O
491,,and,CC,O
492,,teens,NNS,O
493,,",",",",O
494,,and,CC,O
495,,victims,NNS,O
496,,of,IN,O
497,,bullying,NN,O
498,,are,VBP,O
499,,at,IN,O
500,,an,DT,O
501,,increased,VBN,O
502,,risk,NN,O
503,,for,IN,O
504,,committing,VBG,O
505,,suicide,NN,O
506,,.,.,O
507,27,This,DT,O
508,,article,NN,B-SUBJ
509,,gives,VBZ,O
510,,details,NNS,O
511,,on,IN,O
512,,2004,CD,O
513,,in,IN,O
514,,music,NN,B-OBJ
515,,in,IN,O
516,,the,DT,O
517,,United,NNP,O
518,,Kingdom,NNP,O
519,,",",",",O
520,,including,VBG,O
521,,the,DT,O
522,,official,JJ,O
523,,charts,NNS,O
524,,from,IN,O
525,,that,DT,O
526,,year,NN,O
527,,.,.,O
528,28,We,PRP,O
529,,have,VBP,O
530,,therefore,RB,O
531,,taken,VBN,O
532,,the,DT,O
533,,initiative,NN,O
534,,to,TO,O
535,,convene,VB,O
536,,the,DT,O
537,,first,JJ,O
538,,international,JJ,O
539,,open,JJ,O
540,,meeting,NN,B-SUBJ
541,,dedicated,VBN,O
542,,solely,RB,O
543,,to,TO,O
544,,rural,JJ,B-OBJ
545,,history,NN,I-OBJ
546,,.,.,O
547,29,The,DT,O
548,,timer,NN,B-SUBJ
549,,of,IN,O
550,,the,DT,O
551,,device,NN,B-OBJ
552,,automatically,RB,O
553,,eliminates,VBZ,O
554,,wasted,VBN,O
555,,``,``,O
556,,standby,JJ,O
557,,power,NN,O
558,,'','',O
559,,consumption,NN,O
560,,by,IN,O
561,,automatically,RB,O
562,,turn,VB,O
563,,off,RP,O
564,,electronics,NNS,O
565,,plugged,VBD,O
566,,into,IN,O
567,,the,DT,O
568,,``,``,O
569,,auto,NN,O
570,,off,IN,O
571,,'','',O
572,,outlets,NNS,O
573,,.,.,O
574,30,Bob,NNP,O
575,,Parks,NNP,O
576,,made,VBD,O
577,,a,DT,O
578,,similar,JJ,O
579,,offer,NN,B-SUBJ
580,,in,IN,O
581,,a,DT,O
582,,phone,NN,B-OBJ
583,,call,NN,I-OBJ
584,,made,VBN,O
585,,earlier,RBR,O
586,,this,DT,O
587,,week,NN,O
588,,.,.,O
589,31,He,PRP,O
590,,had,VBD,O
591,,chest,NN,O
592,,pains,NNS,O
593,,and,CC,O
594,,headaches,NNS,B-SUBJ
595,,from,IN,O
596,,mold,NN,B-OBJ
597,,in,IN,O
598,,the,DT,O
599,,bedrooms,NNS,O
600,,.,.,O
601,32,The,DT,O
602,,silver-haired,JJ,O
603,,author,NN,O
604,,was,VBD,O
605,,not,RB,O
606,,just,RB,O
607,,laying,VBG,O
608,,India,NNP,O
609,,'s,POS,O
610,,politician,NN,O
611,,saint,NN,O
612,,to,TO,O
613,,rest,NN,O
614,,but,CC,O
615,,healing,VBG,O
616,,a,DT,O
617,,generations-old,JJ,O
618,,rift,NN,O
619,,in,IN,O
620,,the,DT,O
621,,family,NN,O
622,,of,IN,O
623,,the,DT,O
624,,country,NN,B-SUBJ
625,,'s,POS,O
626,,founding,JJ,O
627,,father,NN,B-OBJ
628,,.,.,O
629,33,It,PRP,O
630,,describes,VBZ,O
631,,a,DT,O
632,,method,NN,O
633,,for,IN,O
634,,loading,VBG,O
635,,a,DT,O
636,,horizontal,JJ,O
637,,stack,NN,B-SUBJ
638,,of,IN,O
639,,containers,NNS,O
640,,into,IN,O
641,,a,DT,O
642,,carton,NN,B-OBJ
643,,.,.,O
644,34,The,DT,O
645,,Foundation,NNP,O
646,,decided,VBD,O
647,,to,TO,O
648,,repurpose,VB,O
649,,the,DT,O
650,,building,NN,O
651,,in,IN,O
652,,order,NN,O
653,,to,TO,O
654,,reduce,VB,O
655,,wear,VB,O
656,,and,CC,O
657,,tear,VB,O
658,,on,IN,O
659,,the,DT,O
660,,plumbing,NN,B-SUBJ
661,,in,IN,O
662,,the,DT,O
663,,manor,NN,B-OBJ
664,,house,NN,I-OBJ
665,,by,IN,O
666,,redirecting,VBG,O
667,,visitors,NNS,O
668,,during,IN,O
669,,restoration,NN,O
670,,projects,NNS,O
671,,and,CC,O
672,,beyond,IN,O
673,,.,.,O
674,35,The,DT,O
675,,technology,NN,O
676,,is,VBZ,O
677,,available,JJ,O
678,,to,TO,O
679,,produce,VB,O
680,,and,CC,O
681,,transmit,VB,O
682,,electricity,NN,B-SUBJ
683,,economically,RB,O
684,,from,IN,O
685,,OTEC,NNP,O
686,,systems,NNS,B-OBJ
687,,.,.,O
688,36,The,DT,O
689,,Medicare,NNP,O
690,,buy-in,JJ,O
691,,plan,NN,B-SUBJ
692,,ran,VBD,O
693,,into,IN,O
694,,Senate,NNP,O
695,,resistance,NN,B-OBJ
696,,.,.,O
697,37,The,DT,O
698,,provinces,NNS,B-SUBJ
699,,are,VBP,O
700,,divided,VBN,O
701,,into,IN,O
702,,counties,NNS,B-OBJ
703,,-LRB-,-LRB-,O
704,,shahrestan,NN,O
705,,-RRB-,-RRB-,O
706,,",",",",O
707,,and,CC,O
708,,subdivided,VBN,O
709,,into,IN,O
710,,districts,NNS,O
711,,-LRB-,-LRB-,O
712,,bakhsh,NN,O
713,,-RRB-,-RRB-,O
714,,and,CC,O
715,,sub-districts,NNS,O
716,,-LRB-,-LRB-,O
717,,dehestan,NN,O
718,,-RRB-,-RRB-,O
719,,.,.,O
720,38,Financial,NNP,O
721,,stress,NN,B-SUBJ
722,,is,VBZ,O
723,,one,CD,O
724,,of,IN,O
725,,the,DT,O
726,,main,JJ,O
727,,causes,NNS,O
728,,of,IN,O
729,,divorce,NN,B-OBJ
730,,.,.,O
731,39,Newspapers,NNS,B-SUBJ
732,,swap,VBP,O
733,,content,NN,O
734,,via,IN,O
735,,widgets,NNS,O
736,,with,IN,O
737,,the,DT,O
738,,help,NN,O
739,,of,IN,O
740,,the,DT,O
741,,newsgator,NN,O
742,,service,NN,B-OBJ
743,,.,.,O
744,40,The,DT,O
745,,women,NNS,B-SUBJ
746,,that,WDT,O
747,,caused,VBD,O
748,,the,DT,O
749,,accident,NN,B-OBJ
750,,was,VBD,O
751,,on,IN,O
752,,the,DT,O
753,,cell,NN,O
754,,phone,NN,O
755,,and,CC,O
756,,ran,VBD,O
757,,thru,IN,O
758,,the,DT,O
759,,intersection,NN,O
760,,without,IN,O
761,,pausing,VBG,O
762,,on,IN,O
763,,the,DT,O
764,,median,NN,O
765,,.,.,O
766,41,The,DT,O
767,,transmitter,NN,B-SUBJ
768,,was,VBD,O
769,,discovered,VBN,O
770,,inside,IN,O
771,,a,DT,O
772,,bed,NN,O
773,,settee,NN,O
774,,suite,NN,B-OBJ
775,,on,IN,O
776,,which,WDT,O
777,,he,PRP,O
778,,had,VBD,O
779,,been,VBN,O
780,,sitting,VBG,O
781,,.,.,O
782,42,The,DT,O
783,,Kerala,NNP,O
784,,backwaters,NNS,O
785,,are,VBP,O
786,,a,DT,O
787,,chain,NN,B-SUBJ
788,,of,IN,O
789,,brackish,JJ,O
790,,lagoons,NNS,B-OBJ
791,,and,CC,O
792,,lakes,NNS,O
793,,lying,VBG,O
794,,parallel,NN,O
795,,to,TO,O
796,,the,DT,O
797,,Arabian,NNP,O
798,,Sea,NNP,O
799,,coast,NN,O
800,,of,IN,O
801,,Kerala,NNP,O
802,,state,NN,O
803,,in,IN,O
804,,southern,JJ,O
805,,India,NNP,O
806,,.,.,O
807,43,A,DT,O
808,,St.,NNP,O
809,,Paul,NNP,O
810,,College,NNP,O
811,,student,NN,B-SUBJ
812,,was,VBD,O
813,,released,VBN,O
814,,from,IN,O
815,,jail,NN,B-OBJ
816,,Wednesday,NNP,O
817,,night,NN,O
818,,",",",",O
819,,after,IN,O
820,,his,PRP$,O
821,,arrest,NN,O
822,,Tuesday,NNP,O
823,,in,IN,O
824,,the,DT,O
825,,alleged,VBN,O
826,,rape,NN,O
827,,of,IN,O
828,,another,DT,O
829,,student,NN,O
830,,on,IN,O
831,,campus,NN,O
832,,.,.,O
833,44,Calluses,NNS,B-SUBJ
834,,are,VBP,O
835,,caused,VBN,O
836,,by,IN,O
837,,improperly,RB,O
838,,fitting,JJ,O
839,,shoes,NNS,O
840,,or,CC,O
841,,by,IN,O
842,,a,DT,O
843,,skin,NN,B-OBJ
844,,abnormality,NN,I-OBJ
845,,.,.,O
846,45,Adults,NNS,B-SUBJ
847,,use,VBP,O
848,,drugs,NNS,B-OBJ
849,,for,IN,O
850,,this,DT,O
851,,purpose,NN,O
852,,.,.,O
853,46,The,DT,O
854,,councilor,NN,B-SUBJ
855,,proposed,VBD,O
856,,assessing,VBG,O
857,,infinitival,JJ,O
858,,complements,NNS,O
859,,through,IN,O
860,,elicitation,NN,B-OBJ
861,,.,.,O
862,47,As,IN,O
863,,in,IN,O
864,,the,DT,O
865,,popular,JJ,O
866,,movie,NN,O
867,,``,``,O
868,,Deep,JJ,O
869,,Impact,NN,O
870,,'','',O
871,,",",",",O
872,,the,DT,O
873,,action,NN,O
874,,of,IN,O
875,,the,DT,O
876,,Perseid,NNP,O
877,,meteor,NN,B-SUBJ
878,,shower,NN,I-SUBJ
879,,is,VBZ,O
880,,caused,VBN,O
881,,by,IN,O
882,,a,DT,O
883,,comet,NN,B-OBJ
884,,",",",",O
885,,in,IN,O
886,,this,DT,O
887,,case,NN,O
888,,periodic,JJ,O
889,,comet,NN,O
890,,Swift-Tuttle,NN,O
891,,.,.,O
892,48,The,DT,O
893,,following,JJ,O
894,,information,NN,O
895,,appeared,VBD,O
896,,in,IN,O
897,,the,DT,O
898,,notes,NNS,B-SUBJ
899,,to,TO,O
900,,consolidated,JJ,O
901,,financial,JJ,O
902,,statements,NNS,B-OBJ
903,,of,IN,O
904,,some,DT,O
905,,corporate,JJ,O
906,,annual,JJ,O
907,,reports,NNS,O
908,,.,.,O
909,49,HipHop,NNP,O
910,,appropriates,VBZ,O
911,,the,DT,O
912,,symbols,NNS,O
913,,of,IN,O
914,,a,DT,O
915,,consumer,NN,O
916,,society,NN,O
917,,:,:,O
918,,oversized,JJ,O
919,,diamond,NN,B-SUBJ
920,,colliers,NNS,B-OBJ
921,,are,VBP,O
922,,worn,JJ,O
923,,.,.,O
924,50,The,DT,O
925,,radiation,NN,B-SUBJ
926,,from,IN,O
927,,the,DT,O
928,,atomic,JJ,O
929,,bomb,NN,B-OBJ
930,,explosion,NN,I-OBJ
931,,is,VBZ,O
932,,a,DT,O
933,,typical,JJ,O
934,,acute,JJ,O
935,,radiation,NN,O
936,,.,.,O
937,51,The,DT,O
938,,ride-on,JJ,O
939,,boat,NN,B-SUBJ
940,,tiller,NN,B-OBJ
941,,was,VBD,O
942,,developed,VBN,O
943,,by,IN,O
944,,engineers,NNP,O
945,,Arnold,NNP,O
946,,S.,NNP,O
947,,Juliano,NNP,O
948,,and,CC,O
949,,Dr.,NNP,O
950,,Eulito,NNP,O
951,,U.,NNP,O
952,,Bautista,NNP,O
953,,.,.,O
954,52,A,DT,O
955,,neoplastic,JJ,O
956,,recurrence,NN,B-SUBJ
957,,arose,VBD,O
958,,from,IN,O
959,,an,DT,O
960,,extensive,JJ,O
961,,radiation,NN,B-OBJ
962,,induced,VBN,O
963,,ulceration,NN,O
964,,.,.,O
965,53,He,PRP,O
966,,has,VBZ,O
967,,a,DT,O
968,,tattoo,NN,O
969,,on,IN,O
970,,his,PRP$,O
971,,right,JJ,O
972,,arm,NN,O
973,,and,CC,O
974,,scars,NNS,B-SUBJ
975,,from,IN,O
976,,stitches,NNS,B-OBJ
977,,on,IN,O
978,,his,PRP$,O
979,,right,JJ,O
980,,elbow,NN,O
981,,.,.,O
982,54,Whether,IN,O
983,,your,PRP$,O
984,,home,NN,O
985,,includes,VBZ,O
986,,a,DT,O
987,,charm,NN,O
988,,of,IN,O
989,,finches,NNS,O
990,,",",",",O
991,,a,DT,O
992,,sute,NN,O
993,,of,IN,O
994,,bloodhounds,NNS,O
995,,",",",",O
996,,or,CC,O
997,,a,DT,O
998,,knob,NN,B-SUBJ
999,,of,IN,O
1000,,toads,NNS,B-OBJ
1001,,",",",",O
1002,,I,PRP,O
1003,,think,VBP,O
1004,,it,PRP,O
1005,,'s,VBZ,O
1006,,important,JJ,O
1007,,to,TO,O
1008,,keep,VB,O
1009,,the,DT,O
1010,,numbers,NNS,O
1011,,within,IN,O
1012,,reason,NN,O
1013,,.,.,O
1014,55,Furthermore,RB,O
1015,,",",",",O
1016,,these,DT,O
1017,,INGO,NNP,O
1018,,practitioners,NNS,O
1019,,constructed,VBN,O
1020,,a,DT,O
1021,,discourse,NN,B-SUBJ
1022,,around,IN,O
1023,,participation,NN,B-OBJ
1024,,which,WDT,O
1025,,distorted,VBN,O
1026,,the,DT,O
1027,,real,JJ,O
1028,,significance,NN,O
1029,,of,IN,O
1030,,participation,NN,O
1031,,.,.,O
1032,56,Kelvin,NNP,O
1033,,bought,VBD,O
1034,,a,DT,O
1035,,silver,JJ,B-SUBJ
1036,,ring,NN,B-OBJ
1037,,which,WDT,O
1038,,he,PRP,O
1039,,was,VBD,O
1040,,so,RB,O
1041,,happy,JJ,O
1042,,with,IN,O
1043,,and,CC,O
1044,,he,PRP,O
1045,,keeps,VBZ,O
1046,,wearing,VBG,O
1047,,it,PRP,O
1048,,now,RB,O
1049,,even,RB,O
1050,,though,IN,O
1051,,its,PRP$,O
1052,,abit,VBP,O
1053,,too,RB,O
1054,,big,JJ,O
1055,,haha,NN,O
1056,,.,.,O
1057,57,Scientists,NNS,O
1058,,are,VBP,O
1059,,in,IN,O
1060,,the,DT,O
1061,,midst,NN,O
1062,,of,IN,O
1063,,an,DT,O
1064,,ongoing,JJ,O
1065,,debate,NN,B-SUBJ
1066,,about,IN,O
1067,,the,DT,O
1068,,relative,JJ,O
1069,,value,NN,B-OBJ
1070,,of,IN,O
1071,,openness,NN,O
1072,,and,CC,O
1073,,collaboration,NN,O
1074,,in,IN,O
1075,,their,PRP$,O
1076,,profession,NN,O
1077,,.,.,O
1078,58,This,DT,O
1079,,cut,NN,O
1080,,blue,JJ,O
1081,,and,CC,O
1082,,white,JJ,O
1083,,striped,VBD,O
1084,,cotton,NN,O
1085,,dress,NN,B-SUBJ
1086,,with,IN,O
1087,,red,JJ,O
1088,,bands,NNS,O
1089,,on,IN,O
1090,,the,DT,O
1091,,bodice,NN,O
1092,,was,VBD,O
1093,,in,IN,O
1094,,a,DT,O
1095,,trunk,NN,B-OBJ
1096,,of,IN,O
1097,,vintage,JJ,O
1098,,Barbie,NNP,O
1099,,clothing,NN,O
1100,,.,.,O
1101,59,My,PRP$,O
1102,,major,JJ,O
1103,,disagreement,NN,B-SUBJ
1104,,with,IN,O
1105,,Lyons,NNP,O
1106,,concerns,VBZ,O
1107,,the,DT,O
1108,,causal,JJ,B-OBJ
1109,,part,NN,I-OBJ
1110,,of,IN,O
1111,,his,PRP$,O
1112,,theory,NN,O
1113,,.,.,O
1114,60,Both,PDT,O
1115,,his,PRP$,O
1116,,feet,NNS,B-SUBJ
1117,,have,VBP,O
1118,,been,VBN,O
1119,,moving,VBG,O
1120,,into,IN,O
1121,,the,DT,O
1122,,ball,NN,B-OBJ
1123,,.,.,O
1124,61,The,DT,O
1125,,scissors,NNS,O
1126,,were,VBD,O
1127,,in,IN,O
1128,,a,DT,O
1129,,small,JJ,O
1130,,plastic,JJ,O
1131,,soap,NN,O
1132,,container,NN,O
1133,,",",",",O
1134,,next,JJ,O
1135,,to,TO,O
1136,,a,DT,O
1137,,bar,NN,O
1138,,of,IN,O
1139,,soap,NN,O
1140,,",",",",O
1141,,and,CC,O
1142,,the,DT,O
1143,,box,NN,B-SUBJ
1144,,cutters,NNS,I-SUBJ
1145,,were,VBD,O
1146,,in,IN,O
1147,,a,DT,O
1148,,box,NN,B-OBJ
1149,,next,JJ,O
1150,,to,TO,O
1151,,a,DT,O
1152,,bottle,NN,O
1153,,of,IN,O
1154,,after-shave,JJ,O
1155,,lotion,NN,O
1156,,.,.,O
1157,62,A,DT,O
1158,,great,JJ,O
1159,,wing,NN,B-SUBJ
1160,,of,IN,O
1161,,fluorite,JJ,O
1162,,dragons,NNS,B-OBJ
1163,,",",",",O
1164,,the,DT,O
1165,,greatest,JJS,O
1166,,concentration,NN,O
1167,,of,IN,O
1168,,the,DT,O
